index,recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit,conversion,spend
29915,3,4) $350 - $500,498.59,0,1,Urban,0,Multichannel,No E-Mail,0,0,0.0
32491,8,1) $0 - $100,31.7,0,1,Surburban,0,Web,No E-Mail,0,0,0.0
51493,2,2) $100 - $200,173.96,1,0,Urban,1,Phone,No E-Mail,0,0,0.0
12438,9,2) $100 - $200,124.65,0,1,Surburban,0,Web,No E-Mail,1,0,0.0
17684,3,2) $100 - $200,130.54,0,1,Urban,0,Web,No E-Mail,1,0,0.0
26981,10,1) $0 - $100,90.94,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0
18516,10,1) $0 - $100,29.99,1,0,Urban,1,Phone,No E-Mail,0,0,0.0
48436,6,3) $200 - $350,277.48,1,1,Rural,0,Phone,Womens E-Mail,0,0,0.0
21611,10,1) $0 - $100,78.39,0,1,Surburban,0,Phone,Womens E-Mail,0,0,0.0
8601,8,3) $200 - $350,219.85,1,1,Surburban,1,Web,No E-Mail,1,1,444.92
4367,2,5) $500 - $750,709.87,0,1,Surburban,1,Phone,No E-Mail,0,0,0.0
35068,8,5) $500 - $750,590.12,0,1,Urban,1,Multichannel,Womens E-Mail,0,0,0.0
39980,4,1) $0 - $100,70.22,0,1,Urban,1,Phone,No E-Mail,0,0,0.0
13856,3,1) $0 - $100,51.02,1,0,Surburban,1,Web,Womens E-Mail,1,0,0.0
62540,1,1) $0 - $100,92.89,0,1,Surburban,1,Phone,No E-Mail,1,0,0.0
59417,2,1) $0 - $100,29.99,0,1,Surburban,0,Web,No E-Mail,0,0,0.0
45874,10,5) $500 - $750,517.43,1,0,Surburban,1,Multichannel,Womens E-Mail,0,0,0.0
59209,3,1) $0 - $100,29.99,0,1,Urban,1,Phone,Womens E-Mail,1,0,0.0
57213,10,3) $200 - $350,206.78,1,1,Urban,0,Phone,Womens E-Mail,0,0,0.0
3749,1,2) $100 - $200,197.43,0,1,Surburban,0,Web,No E-Mail,0,0,0.0
15148,10,3) $200 - $350,214.85,0,1,Urban,0,Web,Womens E-Mail,0,0,0.0
36087,11,3) $200 - $350,329.95,1,0,Surburban,1,Web,No E-Mail,0,0,0.0
29632,6,5) $500 - $750,684.41,1,1,Rural,1,Multichannel,No E-Mail,0,0,0.0
29468,3,5) $500 - $750,588.57,1,0,Urban,1,Web,No E-Mail,0,0,0.0
29556,11,1) $0 - $100,29.99,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0
33990,2,1) $0 - $100,70.19,0,1,Surburban,0,Phone,Womens E-Mail,1,0,0.0
14249,10,2) $100 - $200,100.49,1,0,Surburban,0,Web,No E-Mail,1,0,0.0
52438,1,1) $0 - $100,93.82,1,0,Urban,1,Phone,No E-Mail,0,0,0.0
25627,9,2) $100 - $200,105.41,0,1,Rural,0,Web,No E-Mail,0,0,0.0
33209,7,1) $0 - $100,29.99,0,1,Urban,0,Web,Womens E-Mail,1,0,0.0
2440,6,1) $0 - $100,32.72,1,0,Rural,1,Web,No E-Mail,0,0,0.0
23553,6,3) $200 - $350,311.95,1,0,Surburban,0,Web,No E-Mail,1,0,0.0
63089,10,2) $100 - $200,196.02,1,0,Urban,0,Phone,No E-Mail,0,0,0.0
9359,2,2) $100 - $200,122.89,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0
44452,2,5) $500 - $750,734.27,0,1,Surburban,1,Multichannel,No E-Mail,0,0,0.0
54607,4,1) $0 - $100,29.99,0,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0
5445,5,1) $0 - $100,29.99,1,0,Surburban,0,Web,No E-Mail,0,0,0.0
37076,10,3) $200 - $350,234.04,0,1,Rural,1,Web,Womens E-Mail,0,0,0.0
29629,11,1) $0 - $100,29.99,0,1,Surburban,0,Phone,No E-Mail,0,0,0.0
43379,10,3) $200 - $350,265.93,1,0,Surburban,1,Web,No E-Mail,0,0,0.0
27012,7,1) $0 - $100,29.99,1,0,Urban,0,Phone,Womens E-Mail,0,0,0.0
63003,10,1) $0 - $100,29.99,0,1,Urban,1,Web,Womens E-Mail,0,0,0.0
40585,1,2) $100 - $200,169.53,1,0,Urban,0,Phone,Womens E-Mail,1,0,0.0
19613,2,"6) $750 - $1,000",890.27,1,0,Surburban,1,Phone,No E-Mail,0,0,0.0
52867,10,1) $0 - $100,29.99,1,0,Surburban,1,Phone,No E-Mail,0,0,0.0
38534,9,1) $0 - $100,71.0,0,1,Urban,0,Phone,No E-Mail,0,0,0.0
15641,4,2) $100 - $200,198.02,0,1,Surburban,0,Phone,No E-Mail,0,0,0.0
63236,5,2) $100 - $200,118.33,1,0,Surburban,1,Web,No E-Mail,0,0,0.0
29971,1,"7) $1,000 +",1060.3,1,1,Rural,1,Phone,Womens E-Mail,1,0,0.0
35124,11,2) $100 - $200,166.67,1,0,Urban,1,Web,No E-Mail,0,0,0.0
46470,10,1) $0 - $100,50.3,0,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0
36114,1,3) $200 - $350,277.06,1,1,Urban,1,Web,Womens E-Mail,0,0,0.0
32313,7,1) $0 - $100,29.99,0,1,Rural,0,Web,Womens E-Mail,0,0,0.0
4684,10,5) $500 - $750,735.91,1,1,Urban,1,Multichannel,No E-Mail,0,0,0.0
30886,5,4) $350 - $500,456.14,1,1,Urban,0,Web,No E-Mail,0,0,0.0
12910,5,1) $0 - $100,29.99,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0
62902,9,5) $500 - $750,688.42,1,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0
17652,10,5) $500 - $750,720.86,0,1,Urban,1,Multichannel,Womens E-Mail,0,0,0.0
9337,1,2) $100 - $200,139.93,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0
62034,5,4) $350 - $500,458.37,0,1,Surburban,0,Web,No E-Mail,0,0,0.0
22984,5,4) $350 - $500,410.88,0,1,Urban,0,Web,No E-Mail,0,0,0.0
11111,6,"6) $750 - $1,000",819.58,1,1,Surburban,1,Multichannel,No E-Mail,0,0,0.0
21735,5,3) $200 - $350,228.21,0,1,Urban,1,Phone,Womens E-Mail,0,0,0.0
59837,9,2) $100 - $200,145.14,0,1,Rural,1,Phone,No E-Mail,0,0,0.0
27300,7,2) $100 - $200,145.7,1,0,Surburban,0,Phone,Womens E-Mail,0,0,0.0
33474,12,1) $0 - $100,29.99,1,0,Urban,0,Phone,Womens E-Mail,0,0,0.0
22513,1,2) $100 - $200,161.53,0,1,Rural,0,Web,Womens E-Mail,0,0,0.0
35263,3,"6) $750 - $1,000",858.46,1,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0
28722,4,1) $0 - $100,35.19,0,1,Urban,1,Phone,Womens E-Mail,0,0,0.0
40820,6,1) $0 - $100,29.99,1,0,Urban,0,Phone,Womens E-Mail,0,0,0.0
20241,1,3) $200 - $350,201.45,1,0,Surburban,1,Phone,No E-Mail,0,0,0.0
31831,2,1) $0 - $100,45.5,1,0,Surburban,0,Phone,Womens E-Mail,1,0,0.0
12171,12,3) $200 - $350,247.92,1,1,Urban,0,Web,No E-Mail,0,0,0.0
20466,5,2) $100 - $200,190.73,1,0,Rural,0,Phone,No E-Mail,0,0,0.0
2564,10,2) $100 - $200,185.01,0,1,Urban,1,Phone,Womens E-Mail,0,0,0.0
54609,4,2) $100 - $200,171.02,0,1,Urban,1,Phone,Womens E-Mail,0,0,0.0
42300,10,2) $100 - $200,143.58,0,1,Rural,0,Phone,No E-Mail,0,0,0.0
48966,3,1) $0 - $100,85.16,1,0,Urban,0,Phone,No E-Mail,0,0,0.0
50411,8,1) $0 - $100,29.99,1,0,Urban,0,Phone,Womens E-Mail,0,0,0.0
59643,2,1) $0 - $100,29.99,1,0,Surburban,0,Web,No E-Mail,0,0,0.0
61129,5,2) $100 - $200,174.78,1,0,Urban,0,Web,No E-Mail,0,0,0.0
19402,2,1) $0 - $100,31.49,0,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0
60683,2,3) $200 - $350,264.19,1,0,Urban,1,Web,No E-Mail,0,0,0.0
204,1,5) $500 - $750,506.51,1,0,Urban,1,Multichannel,No E-Mail,0,0,0.0
10304,5,1) $0 - $100,43.48,0,1,Surburban,0,Web,Womens E-Mail,1,1,39.81
33570,11,2) $100 - $200,124.1,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0
49536,2,2) $100 - $200,123.12,1,0,Surburban,0,Web,Womens E-Mail,0,0,0.0
23781,2,2) $100 - $200,198.03,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0
28462,1,1) $0 - $100,30.42,1,0,Urban,0,Phone,Womens E-Mail,0,0,0.0
7999,9,3) $200 - $350,202.9,0,1,Urban,0,Phone,No E-Mail,0,0,0.0
35218,6,1) $0 - $100,29.99,1,0,Urban,0,Phone,No E-Mail,0,0,0.0
17574,1,4) $350 - $500,397.56,1,1,Urban,0,Phone,No E-Mail,1,0,0.0
63006,8,1) $0 - $100,29.99,1,0,Surburban,0,Phone,Womens E-Mail,0,0,0.0
30899,10,2) $100 - $200,134.07,1,0,Urban,1,Phone,Womens E-Mail,0,0,0.0
10059,2,5) $500 - $750,748.1,1,1,Rural,1,Phone,Womens E-Mail,0,0,0.0
25465,10,3) $200 - $350,292.52,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0
35658,5,1) $0 - $100,31.04,0,1,Surburban,0,Phone,No E-Mail,0,0,0.0
5527,11,1) $0 - $100,29.99,1,0,Surburban,0,Web,No E-Mail,0,0,0.0
36071,4,4) $350 - $500,427.2,1,0,Urban,1,Multichannel,No E-Mail,0,0,0.0
26249,3,1) $0 - $100,83.85,1,0,Urban,1,Phone,No E-Mail,0,0,0.0
62314,5,2) $100 - $200,112.05,0,1,Rural,1,Phone,No E-Mail,0,0,0.0
53970,10,3) $200 - $350,224.4,1,0,Urban,0,Multichannel,No E-Mail,0,0,0.0
14264,6,1) $0 - $100,89.9,0,1,Surburban,0,Phone,No E-Mail,0,0,0.0
8704,6,5) $500 - $750,737.15,1,0,Urban,1,Multichannel,Womens E-Mail,0,0,0.0
60453,6,2) $100 - $200,100.73,1,0,Surburban,1,Web,No E-Mail,0,0,0.0
44587,2,3) $200 - $350,263.31,0,1,Surburban,1,Web,Womens E-Mail,0,0,0.0
41714,1,1) $0 - $100,66.28,1,0,Urban,0,Phone,Womens E-Mail,0,0,0.0
49420,5,2) $100 - $200,104.6,0,1,Surburban,1,Web,No E-Mail,0,0,0.0
4923,7,3) $200 - $350,306.49,1,1,Rural,0,Multichannel,Womens E-Mail,0,0,0.0
4674,4,1) $0 - $100,75.5,0,1,Urban,1,Phone,No E-Mail,0,0,0.0
26407,2,"6) $750 - $1,000",780.58,0,1,Urban,1,Multichannel,Womens E-Mail,0,0,0.0
32488,5,1) $0 - $100,29.99,1,0,Urban,1,Phone,Womens E-Mail,0,0,0.0
42151,7,4) $350 - $500,486.72,1,1,Urban,0,Multichannel,No E-Mail,0,0,0.0
17681,7,1) $0 - $100,29.99,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0
32631,3,2) $100 - $200,182.42,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0
11171,9,4) $350 - $500,417.22,0,1,Urban,0,Multichannel,No E-Mail,0,0,0.0
26739,7,3) $200 - $350,247.68,0,1,Urban,0,Multichannel,No E-Mail,0,0,0.0
34927,7,2) $100 - $200,199.9,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0
32632,4,4) $350 - $500,391.1,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0
36822,3,5) $500 - $750,638.25,1,1,Surburban,1,Web,No E-Mail,0,0,0.0
30270,10,1) $0 - $100,29.99,0,1,Urban,0,Phone,No E-Mail,0,0,0.0
39124,10,1) $0 - $100,84.23,0,1,Surburban,0,Web,No E-Mail,0,0,0.0
54942,2,3) $200 - $350,242.26,1,0,Urban,0,Phone,No E-Mail,0,0,0.0
55779,5,1) $0 - $100,29.99,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0
56469,1,4) $350 - $500,423.92,1,0,Urban,1,Multichannel,Womens E-Mail,0,0,0.0
47548,2,3) $200 - $350,207.62,0,1,Urban,1,Phone,Womens E-Mail,0,0,0.0
62551,2,5) $500 - $750,559.63,1,0,Urban,1,Multichannel,No E-Mail,0,0,0.0
56393,6,2) $100 - $200,137.94,0,1,Surburban,1,Phone,No E-Mail,0,0,0.0
16550,5,1) $0 - $100,29.99,0,1,Urban,1,Web,No E-Mail,0,0,0.0
14085,4,1) $0 - $100,29.99,0,1,Urban,1,Phone,No E-Mail,0,0,0.0
47120,9,1) $0 - $100,74.18,0,1,Urban,1,Web,Womens E-Mail,1,0,0.0
48529,9,2) $100 - $200,116.96,0,1,Surburban,0,Web,No E-Mail,0,0,0.0
49620,10,4) $350 - $500,392.42,0,1,Urban,0,Phone,No E-Mail,0,0,0.0
58215,6,4) $350 - $500,384.22,0,1,Urban,0,Multichannel,No E-Mail,0,0,0.0
58379,11,1) $0 - $100,33.29,0,1,Urban,1,Web,No E-Mail,0,0,0.0
62367,1,2) $100 - $200,126.52,1,0,Rural,0,Phone,No E-Mail,0,0,0.0
9978,9,2) $100 - $200,134.34,0,1,Urban,1,Phone,No E-Mail,0,0,0.0
7994,11,1) $0 - $100,29.99,1,0,Surburban,0,Phone,Womens E-Mail,0,0,0.0
31895,2,1) $0 - $100,73.21,0,1,Rural,1,Web,Womens E-Mail,0,0,0.0
41047,9,2) $100 - $200,184.44,0,1,Surburban,0,Phone,No E-Mail,0,0,0.0
40311,1,5) $500 - $750,738.67,1,1,Surburban,1,Multichannel,Womens E-Mail,0,0,0.0
57430,1,"7) $1,000 +",1057.19,1,0,Urban,1,Phone,Womens E-Mail,1,0,0.0
32573,9,5) $500 - $750,535.81,1,1,Surburban,1,Multichannel,Womens E-Mail,0,0,0.0
17682,1,3) $200 - $350,308.22,1,0,Surburban,0,Multichannel,No E-Mail,1,0,0.0
12582,2,1) $0 - $100,29.99,0,1,Surburban,0,Web,Womens E-Mail,0,0,0.0
55242,9,3) $200 - $350,218.16,1,1,Urban,1,Phone,Womens E-Mail,0,0,0.0
10870,1,2) $100 - $200,188.35,0,1,Urban,0,Web,No E-Mail,0,0,0.0
23797,10,2) $100 - $200,113.08,1,0,Rural,1,Web,No E-Mail,0,0,0.0
23779,5,1) $0 - $100,64.5,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0
2057,10,3) $200 - $350,269.63,1,1,Urban,0,Multichannel,Womens E-Mail,0,0,0.0
55232,9,2) $100 - $200,163.11,0,1,Urban,0,Web,Womens E-Mail,0,0,0.0
46051,10,2) $100 - $200,129.78,0,1,Surburban,0,Web,No E-Mail,0,0,0.0
27033,1,2) $100 - $200,168.14,0,1,Surburban,1,Web,Womens E-Mail,1,0,0.0
43441,2,4) $350 - $500,471.77,1,1,Surburban,0,Multichannel,No E-Mail,0,0,0.0
63127,4,3) $200 - $350,204.15,0,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0
24938,9,2) $100 - $200,102.51,0,1,Surburban,1,Web,Womens E-Mail,1,0,0.0
40599,9,2) $100 - $200,162.52,1,0,Urban,0,Web,No E-Mail,0,0,0.0
8762,9,2) $100 - $200,159.69,0,1,Rural,0,Phone,Womens E-Mail,1,0,0.0
9551,1,3) $200 - $350,293.23,1,1,Urban,0,Web,Womens E-Mail,1,0,0.0
3415,3,3) $200 - $350,216.97,1,0,Surburban,0,Phone,Womens E-Mail,0,0,0.0
872,5,3) $200 - $350,320.43,1,1,Surburban,0,Web,Womens E-Mail,0,0,0.0
20428,2,1) $0 - $100,37.07,1,0,Rural,0,Web,No E-Mail,0,0,0.0
7200,1,3) $200 - $350,287.42,0,1,Urban,1,Multichannel,No E-Mail,0,0,0.0
52215,11,1) $0 - $100,65.09,1,0,Urban,0,Phone,No E-Mail,0,0,0.0
42425,2,3) $200 - $350,258.05,0,1,Surburban,1,Web,No E-Mail,0,0,0.0
13737,3,4) $350 - $500,352.17,0,1,Surburban,0,Web,Womens E-Mail,0,0,0.0
13261,8,1) $0 - $100,29.99,1,0,Urban,0,Phone,Womens E-Mail,0,0,0.0
27581,11,1) $0 - $100,29.99,1,0,Rural,1,Phone,Womens E-Mail,0,0,0.0
15280,11,3) $200 - $350,222.21,0,1,Surburban,1,Web,No E-Mail,0,0,0.0
52101,1,4) $350 - $500,499.78,0,1,Urban,1,Multichannel,No E-Mail,0,0,0.0
53762,1,1) $0 - $100,50.56,1,0,Rural,1,Phone,Womens E-Mail,0,0,0.0
59431,2,"7) $1,000 +",1262.42,1,0,Surburban,1,Multichannel,No E-Mail,0,0,0.0
36116,1,3) $200 - $350,321.12,0,1,Surburban,0,Phone,Womens E-Mail,0,0,0.0
63952,10,1) $0 - $100,29.99,1,0,Rural,1,Web,No E-Mail,0,0,0.0
23825,10,1) $0 - $100,39.93,0,1,Rural,0,Web,Womens E-Mail,0,0,0.0
29927,6,3) $200 - $350,315.04,1,0,Surburban,0,Phone,Womens E-Mail,0,0,0.0
43911,5,2) $100 - $200,141.47,0,1,Surburban,1,Web,No E-Mail,0,0,0.0
24884,1,2) $100 - $200,156.49,0,1,Urban,1,Web,No E-Mail,1,0,0.0
62753,10,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,0,0,0.0
2803,3,4) $350 - $500,489.61,0,1,Urban,1,Phone,Womens E-Mail,0,0,0.0
48797,5,1) $0 - $100,29.99,1,0,Rural,0,Web,No E-Mail,0,0,0.0
53231,7,3) $200 - $350,293.38,1,0,Surburban,0,Web,Womens E-Mail,0,0,0.0
1723,2,"6) $750 - $1,000",940.6,1,1,Urban,1,Web,Womens E-Mail,0,0,0.0
22857,1,4) $350 - $500,451.44,1,0,Urban,0,Multichannel,No E-Mail,0,0,0.0
44055,9,1) $0 - $100,53.83,0,1,Urban,1,Web,Womens E-Mail,0,0,0.0
32891,8,1) $0 - $100,87.76,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0
20105,7,1) $0 - $100,81.35,0,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0
34489,6,5) $500 - $750,693.86,1,0,Urban,1,Multichannel,No E-Mail,0,0,0.0
12090,6,1) $0 - $100,29.99,1,0,Surburban,0,Phone,No E-Mail,1,0,0.0
19522,5,1) $0 - $100,40.81,0,1,Rural,1,Phone,No E-Mail,0,0,0.0
11151,4,2) $100 - $200,114.85,0,1,Urban,0,Phone,Womens E-Mail,0,0,0.0
41878,2,2) $100 - $200,109.22,1,0,Urban,1,Web,No E-Mail,0,0,0.0
35748,2,3) $200 - $350,248.51,1,0,Surburban,0,Web,No E-Mail,0,0,0.0
43392,5,1) $0 - $100,94.67,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0
51310,12,1) $0 - $100,29.99,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0
43676,12,2) $100 - $200,101.75,0,1,Urban,0,Phone,No E-Mail,0,0,0.0
47895,10,1) $0 - $100,38.85,0,1,Rural,0,Web,No E-Mail,0,0,0.0
9504,12,2) $100 - $200,183.7,1,0,Urban,1,Web,Womens E-Mail,0,0,0.0
61887,12,1) $0 - $100,33.75,0,1,Rural,0,Web,Womens E-Mail,0,0,0.0
42242,3,1) $0 - $100,46.15,0,1,Rural,0,Web,Womens E-Mail,0,0,0.0
9256,3,3) $200 - $350,330.0,0,1,Rural,1,Web,Womens E-Mail,0,0,0.0
19259,1,1) $0 - $100,29.99,1,0,Urban,1,Web,No E-Mail,0,0,0.0
23240,7,3) $200 - $350,319.37,0,1,Surburban,0,Phone,Womens E-Mail,0,0,0.0
4298,4,3) $200 - $350,208.37,1,0,Rural,1,Phone,Womens E-Mail,0,0,0.0
36027,4,1) $0 - $100,29.99,1,0,Surburban,0,Web,Womens E-Mail,0,0,0.0
48339,3,2) $100 - $200,108.63,0,1,Surburban,1,Web,Womens E-Mail,0,0,0.0
18647,10,3) $200 - $350,264.25,0,1,Urban,1,Phone,No E-Mail,0,0,0.0
40981,8,2) $100 - $200,143.73,1,0,Surburban,0,Phone,Womens E-Mail,0,0,0.0
63222,5,2) $100 - $200,115.04,0,1,Urban,0,Phone,No E-Mail,0,0,0.0
29311,7,4) $350 - $500,438.83,1,1,Surburban,1,Multichannel,Womens E-Mail,0,0,0.0
58586,4,2) $100 - $200,184.17,1,0,Surburban,0,Web,Womens E-Mail,0,0,0.0
9973,9,1) $0 - $100,84.89,1,0,Surburban,0,Web,No E-Mail,0,0,0.0
57954,5,1) $0 - $100,29.99,1,0,Urban,0,Web,Womens E-Mail,0,0,0.0
